std::unordered_map<std::string, int> Bottoms({
{ “Black Jangoon Pants”, 1060000 },
{ “Black Suit Pants”, 1060001 },
{ “Blue Jean Shorts”, 1060002 },
{ “Military Shorts”, 1060003 },
{ “Grey Thick Sweat Pants”, 1060004 },
{ “Warfare Pants”, 1060005 },
{ “Brown Cotton Shorts”, 1060006 },
{ “Jean Capris”, 1060007 },
{ “Brown Lolico Pants”, 1060008 },
{ “Steel Corporal Pants”, 1060009 },
{ “Steel Sergeant Kilt”, 1060010 },
{ “Orihalcon Master Sergeant Kilt”, 1060011 },
{ “Blue Training Pants”, 1060012 },
{ “Grey / Brown Training Pants”, 1060013 },
{ “Black Split Pants”, 1060014 },
{ “White Split Pants”, 1060015 },
{ “Black Martial Arts Pants”, 1060016 },
{ “White Martial Arts Pants”, 1060017 },
{ “Red Martial Arts Pants”, 1060018 },
{ “Brown Martial Arts Pants”, 1060019 },
{ “White Martial Arts Shorts”, 1060020 },
{ “Blue Cloth Pants”, 1060021 },
{ “Red Cloth Pants”, 1060022 },
{ “Black Cloth Pants”, 1060023 },
{ “Dark Nightshift Pants”, 1060024 },
{ “Blue Nightshift Pants”, 1060025 },
{ “Blue-Striped Boxers”, 1060026 },
{ “Brown Corporal Pants”, 1060027 },
{ “Blue Lolico Pants”, 1060028 },
{ “Red Sergeant Kilt”, 1060029 },
{ “Dark Master Sergeant Kilt”, 1060030 },
{ “Blue Pao Bottom”, 1060031 },
{ “Red Pao Bottom”, 1060032 },
{ “Black Pao Bottom”, 1060033 },
{ “Blue Rider Pants”, 1060034 },
{ “Shine Rider Pants”, 1060035 },
{ “Dark Rider Pants”, 1060036 },
{ “Dark Brown Sneak Pants”, 1060037 },
{ “Brown Sneak Pants”, 1060038 },
{ “Black Sneak Pants”, 1060039 },
{ “Blue Trainer Pants”, 1060040 },
{ “Green Trainer Pants”, 1060041 },
{ “Orange Trainer Pants”, 1060042 },
{ “Dark Brown Stealer Pants”, 1060043 },
{ “Dark Silver Stealer Pants”, 1060044 },
{ “Red / Gold Stealer Pants”, 1060045 },
{ “Silver / Black Stealer Pants”, 1060046 },
{ “Original Disco Pants”, 1060047 },
{ “Green Disco Pants”, 1060048 },
{ “Blue Disco Pants”, 1060049 },
{ “Blue Knucklevest Pants”, 1060050 },
{ “Red Knucklevest Pants”, 1060051 },
{ “Black Knucklevest Pants”, 1060052 },
{ “Wild Pants”, 1060053 },
{ “Brown Wild Pants”, 1060054 },
{ “Red Wild Pants”, 1060055 },
{ “Green Hunter's Pants”, 1060056 },
{ “Dark Hunter's Pants”, 1060057 },
{ “Red Hunter's Pants”, 1060058 },
{ “Blue Hunter's Pants”, 1060059 },
{ “Silver Master Sergeant Kilt”, 1060060 },
{ “Red Legolier Pants”, 1060061 },
{ “Blue Legolier Pants”, 1060062 },
{ “Green Legolier Pants”, 1060063 },
{ “Dark Legolier Pants”, 1060064 },
{ “Brown Legolier Pants”, 1060065 },
{ “Cowboy Pants”, 1060066 },
