std::unordered_map<std::string, int> Tops({
{ “Yellow Jangoon Armor”, 1040000 },
{ “Black Blazer”, 1040001 },
{ “White Undershirt”, 1040002 },
{ “Brown Hard Leather Top”, 1040003 },
{ “Blue Training Shirt”, 1040004 },
{ “Orange Baseball Jacket”, 1040005 },
{ “Undershirt”, 1040006 },
{ “Green Leather Hoodwear”, 1040007 },
{ “Brown Archer Top”, 1040008 },
{ “Steel Corporal”, 1040009 },
{ “Grey T-Shirt”, 1040010 },
{ “Silver Leather Hoodwear”, 1040011 },
{ “Blue Sergeant”, 1040012 },
{ “Blue One-lined T-Shirt”, 1040013 },
{ “Orange Sporty T-Shirt”, 1040014 },
{ “Brown Lolico Armor”, 1040015 },
{ “Orihalcon Master Sergeant”, 1040016 },
{ “Grey / Brown Training Shirt”, 1040017 },
{ “Black Split Piece”, 1040018 },
{ “Orange Split Piece”, 1040019 },
{ “Blue Split Piece”, 1040020 },
{ “Red Hwarang Shirt”, 1040021 },
{ “Green Bennis Chainmail”, 1040022 },
{ “Black Bennis Chainmail”, 1040023 },
{ “Blue Bennis Chainmail”, 1040024 },
{ “Red Bennis Chainmail”, 1040025 },
{ “Green Hwarang Shirt”, 1040026 },
{ “Old School Blazer”, 1040027 },
{ “Blue Sky”, 1040028 },
{ “Blue Dragon”, 1040029 },
{ “Gold Dragon”, 1040030 },
{ “Blue Cloth Vest”, 1040031 },
{ “Red Cloth Vest”, 1040032 },
{ “Black Cloth Vest”, 1040033 },
{ “Dark Nightshift”, 1040034 },
{ “Blue Nightshift”, 1040035 },
{ “Blue-Striped Undershirt”, 1040036 },
{ “Brown Corporal”, 1040037 },
{ “Blue Lolico Armor”, 1040038 },
{ “Red Sergeant”, 1040039 },
{ “Silver Master Sergeant”, 1040040 },
{ “Dark Master Sergeant”, 1040041 },
{ “Blue Pao”, 1040042 },
{ “Red Pao”, 1040043 },
{ “Black Pao”, 1040044 },
{ “Red Rider”, 1040045 },
{ “Shine Rider”, 1040046 },
{ “Dark Rider”, 1040047 },
{ “Brown Sneak”, 1040048 },
{ “Blue Sneak”, 1040049 },
{ “Black Sneak”, 1040050 },
{ “Blue Striped Trainer”, 1040051 },
